ID_OKRSKY,Rebelové,MZH,JaSaN,VÝZVA,SMSka,SPD,ČSSD,PŘÍSAHA,Levice,ČR1,SPOLU,Švýcarská dem.,Nevolte Urza.cz,HOP Hydra,Generace,Piráti,Koruna Česká,Volt,PB,AUTO,BPS,ANO,STAN,Kruh,Stačilo!,Voluntia,OBEC,OKRES,ODEVZ_OBAL,PL_HL_CELK,ID_OKRSKY_%,Rebelové_%,MZH_%,JaSaN_%,VÝZVA_%,SMSka_%,SPD_%,ČSSD_%,PŘÍSAHA_%,Levice_%,ČR1_%,SPOLU_%,Švýcarská dem._%,Nevolte Urza.cz_%,HOP Hydra_%,Generace_%,Piráti_%,Koruna Česká_%,Volt_%,PB_%,AUTO_%,BPS_%,ANO_%,STAN_%,Kruh_%,Stačilo!_%,Voluntia_%,NEPL_HLASY_%
19809,0,0,0,0,0,36,0,6,1,1,54,3,0,0,4,27,1,0,0,33,0,162,36,0,10,0,1660647,3201,378,374,5296.524064171123,0.0,0.0,0.0,0.0,0.0,9.62566844919786,0.0,1.6042780748663104,0.267379679144385,0.267379679144385,14.43850267379679,0.8021390374331552,0.0,0.0,1.06951871657754,7.219251336898395,0.267379679144385,0.0,0.0,8.823529411764707,0.0,43.31550802139038,9.62566844919786,0.0,2.6737967914438503,0.0,0.010582010582010581
39705,0,0,1,1,0,236,3,33,1,14,365,5,0,2,9,190,3,1,0,161,0,1014,256,0,87,5,3321924,3204,2417,2387,1663.3850020946795,0.0,0.0,0.04189359028068705,0.04189359028068705,0.0,9.886887306242146,0.12568077084206117,1.3824884792626728,0.04189359028068705,0.5865102639296188,15.291160452450775,0.20946795140343527,0.0,0.0837871805613741,0.3770423125261835,7.95978215333054,0.12568077084206117,0.04189359028068705,0.0,6.744868035190615,0.0,42.480100544616676,10.724759111855885,0.0,3.6447423544197735,0.20946795140343527,0.012412081092263105
46375,0,0,4,3,3,220,0,23,0,3,410,9,0,0,6,147,10,1,0,166,0,987,196,0,111,2,3875697,3201,2329,2301,2015.4280747501086,0.0,0.0,0.1738374619730552,0.1303780964797914,0.1303780964797914,9.561060408518035,0.0,0.9995654063450673,0.0,0.1303780964797914,17.818339852238157,0.3911342894393742,0.0,0.0,0.2607561929595828,6.388526727509778,0.43459365493263796,0.0434593654932638,0.0,7.214254671881791,0.0,42.89439374185137,8.518035636679706,0.0,4.823989569752282,0.0869187309865276,0.012022327179046832
13259,0,0,2,0,0,46,1,0,0,0,54,1,0,1,1,34,1,0,0,45,0,300,36,0,38,0,1107378,3201,577,560,2367.6785714285716,0.0,0.0,0.35714285714285715,0.0,0.0,8.214285714285714,0.17857142857142858,0.0,0.0,0.0,9.642857142857144,0.17857142857142858,0.0,0.17857142857142858,0.17857142857142858,6.071428571428571,0.17857142857142858,0.0,0.0,8.035714285714286,0.0,53.57142857142857,6.428571428571428,0.0,6.785714285714286,0.0,0.029462738301559765
13263,0,0,1,3,0,103,0,7,0,0,118,2,0,0,3,73,0,0,0,66,0,613,97,0,38,1,1107394,4207,1136,1125,1178.9333333333334,0.0,0.0,0.08888888888888889,0.26666666666666666,0.0,9.155555555555555,0.0,0.6222222222222222,0.0,0.0,10.488888888888889,0.17777777777777778,0.0,0.0,0.26666666666666666,6.488888888888889,0.0,0.0,0.0,5.866666666666666,0.0,54.48888888888889,8.622222222222224,0.0,3.3777777777777773,0.08888888888888889,0.009683098591549255
66455,0,0,5,1,4,282,6,26,2,9,545,8,0,3,11,150,1,0,0,195,0,963,214,0,90,3,5537860,3201,2551,2518,2639.1977760127083,0.0,0.0,0.19857029388403494,0.03971405877680699,0.15885623510722796,11.19936457505957,0.23828435266084197,1.0325655281969817,0.07942811755361398,0.3574265289912629,21.64416203335981,0.3177124702144559,0.0,0.11914217633042098,0.4368546465448769,5.957108816521049,0.03971405877680699,0.0,0.0,7.744241461477364,0.0,38.24463860206513,8.498808578236696,0.0,3.5742652899126295,0.11914217633042098,0.0129361034888279
13321,0,0,1,0,0,31,0,2,0,0,58,1,0,0,5,12,1,0,0,21,0,95,31,0,7,0,1107782,3201,269,265,5026.792452830189,0.0,0.0,0.37735849056603776,0.0,0.0,11.69811320754717,0.0,0.7547169811320755,0.0,0.0,21.88679245283019,0.37735849056603776,0.0,0.0,1.8867924528301887,4.528301886792453,0.37735849056603776,0.0,0.0,7.9245283018867925,0.0,35.84905660377358,11.69811320754717,0.0,2.6415094339622645,0.0,0.014869888475836479
13327,0,0,1,2,0,55,1,6,0,1,91,1,0,0,2,32,0,1,0,56,0,265,55,0,34,3,1107826,3201,610,606,2199.174917491749,0.0,0.0,0.16501650165016502,0.33003300330033003,0.0,9.075907590759076,0.16501650165016502,0.9900990099009901,0.0,0.16501650165016502,15.016501650165019,0.16501650165016502,0.0,0.0,0.33003300330033003,5.2805280528052805,0.0,0.16501650165016502,0.0,9.24092409240924,0.0,43.72937293729373,9.075907590759076,0.0,5.6105610561056105,0.49504950495049505,0.006557377049180357
13335,0,0,2,2,0,31,1,5,0,0,55,6,0,0,1,26,3,0,0,30,0,134,26,0,17,0,1107896,3201,345,339,3933.6283185840707,0.0,0.0,0.5899705014749262,0.5899705014749262,0.0,9.144542772861357,0.2949852507374631,1.4749262536873156,0.0,0.0,16.224188790560472,1.7699115044247788,0.0,0.0,0.2949852507374631,7.669616519174041,0.8849557522123894,0.0,0.0,8.849557522123893,0.0,39.52802359882006,7.669616519174041,0.0,5.014749262536873,0.0,0.017391304347826098
20028,4,1,1,1,1,206,11,28,0,12,375,5,0,1,13,162,2,2,0,126,0,850,175,0,84,3,1662042,8102,2080,2063,970.8191953465827,0.19389238972370335,0.048473097430925836,0.048473097430925836,0.048473097430925836,0.048473097430925836,9.985458070770722,0.5332040717401841,1.3572467280659235,0.0,0.58167716917111,18.177411536597187,0.24236548715462916,0.0,0.048473097430925836,0.6301502666020359,7.852641783809985,0.09694619486185167,0.09694619486185167,0.0,6.107610276296655,0.0,41.20213281628696,8.482792050412021,0.0,4.07174018419777,0.1454192922927775,0.008173076923076894
13375,0,0,2,0,0,64,0,7,0,0,99,1,0,0,2,36,0,1,0,44,0,344,68,0,43,2,1108222,3201,714,713,1875.8765778401123,0.0,0.0,0.2805049088359046,0.0,0.0,8.976157082748948,0.0,0.9817671809256662,0.0,0.0,13.884992987377279,0.1402524544179523,0.0,0.0,0.2805049088359046,5.049088359046284,0.0,0.1402524544179523,0.0,6.171107994389901,0.0,48.2468443197756,9.537166900420758,0.0,6.03085553997195,0.2805049088359046,0.0014005602240896309
13397,2,1,1,1,1,96,6,8,2,4,387,0,0,1,10,88,3,0,0,106,0,466,129,0,57,0,1108438,8106,1374,1369,978.5975164353542,0.1460920379839299,0.07304601899196494,0.07304601899196494,0.07304601899196494,0.07304601899196494,7.012417823228634,0.4382761139517896,0.5843681519357196,0.1460920379839299,0.2921840759678598,28.268809349890432,0.0,0.0,0.07304601899196494,0.7304601899196494,6.428049671292914,0.2191380569758948,0.0,0.0,7.742878013148284,0.0,34.03944485025566,9.422936449963478,0.0,4.163623082542001,0.0,0.00363901018922852
40215,4,1,2,1,1,233,4,18,0,11,308,6,0,2,12,155,2,1,0,196,0,1311,165,0,124,3,3325362,8106,2607,2560,1570.8984375,0.15625,0.0390625,0.078125,0.0390625,0.0390625,9.1015625,0.15625,0.703125,0.0,0.42968750000000006,12.03125,0.234375,0.0,0.078125,0.46875,6.0546875,0.078125,0.0390625,0.0,7.656250000000001,0.0,51.2109375,6.4453125,0.0,4.84375,0.1171875,0.018028385116992673
